timestamp,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
1741646267.36005592,104468844,0,3.62,5.47,359.51,2.144970655441284,0.3301350176334381,-0.09068946540355682,-0.024557389318943024,7.883212089538574,-0.814302384853363,-49.923397064208984,0.05,0.12,-0.04,584.16
1741646267.36005592,104468844,1,4.24,5.34,342.29,2.370973587036133,-0.4954929053783417,-0.12785135209560394,-0.04100556671619415,7.950790882110596,-1.5486955642700195,-50.04248809814453,-0.18,0.49,-0.1,584.16
1741646267.40004206,104508830,0,4.17,5.64,0.06,2.1114330291748047,0.35353630781173706,-0.0927438959479332,-0.02799396589398384,7.975886821746826,-0.7992824912071228,-49.92471694946289,0.05,0.12,-0.04,584.16
1741646267.40004206,104508830,1,4.9,5.76,342.7,2.3324620723724365,-0.4456946551799774,-0.12793056666851044,-0.041354235261678696,8.046561241149902,-1.530863642692566,-50.04461669921875,-0.18,0.49,-0.1,584.16
1741646267.42003608,104528824,0,4.18,5.81,0.39,2.0940792560577393,0.3753507733345032,-0.09088021516799927,-0.02706034481525421,8.022486686706543,-0.791168212890625,-49.92507553100586,0.05,0.12,-0.04,584.16
1741646267.42003608,104528824,1,4.15,6.27,343.08,2.3142378330230713,-0.40951696038246155,-0.12483420222997665,-0.03825617954134941,8.09360408782959,-1.517172932624817,-50.04478454589844,-0.18,0.49,-0.1,584.16
1741646267.44002891,104548817,0,4.68,5.94,1.12,2.0764734745025635,0.38838133215904236,-0.09002897888422012,-0.027262546122074127,8.066319465637207,-0.7830606698989868,-49.92621994018555,0.05,0.12,-0.04,584.16
1741646267.44002891,104548817,1,4.59,6.73,343.86,2.2931971549987793,-0.38289058208465576,-0.12251856923103333,-0.03652305528521538,8.139899253845215,-1.5044291019439697,-50.045143127441406,-0.18,0.49,-0.1,584.16
1741646267.48001504,104588803,0,4.88,6.2,2.23,2.0408928394317627,0.4272572696208954,-0.09936363995075226,-0.04108220338821411,8.160094261169434,-0.7647044658660889,-49.927120208740234,0.05,0.12,-0.04,584.16
1741646267.48001504,104588803,1,4.35,7.53,345.37,2.245854377746582,-0.32375380396842957,-0.12977130711078644,-0.04504676163196564,8.232048988342285,-1.4837071895599365,-50.047203063964844,-0.19,0.49,-0.09,584.16
